Frogify,U,U,3132,3.38,322,4.43,1200,49.30%,172,,373,55.50%,541,51.90%,439,44.40%,7.5pp
,,,,,,,,,,,,,,,,,
"Gadwick, the Wizened",U,R,294,1,151,1,571,,88,,175,,257,65.00%,208,40.90%,24.1pp
,,,,,,,,,,,,,,,,,
Hypnotic Sprite,U,U,2229,2.5,334,3.07,1458,51.90%,225,48.40%,465,56.80%,677,54.10%,538,50.20%,3.9pp
,,,,,,,,,,,,,,,,,
Into the Story,U,U,3889,4.16,572,5.11,1892,51.30%,272,44.10%,685,60.60%,940,56.20%,796,46.90%,9.3pp
,,,,,,,,,,,,,,,,,
The Magic Mirror,U,M,228,1.5,40,1.63,34,,6,,4,,10,,18,,
,,,,,,,,,,,,,,,,,
Mantle of Tides,U,C,14316,8.03,1765,10.6,2194,49.90%,403,54.80%,801,52.30%,1184,53.30%,821,45.30%,8.0pp
,,,,,,,,,,,,,,,,,
Merfolk Secretkeeper,U,C,7046,2.88,832,3.58,2371,52.20%,548,53.30%,1512,59.30%,1911,57.60%,676,46.60%,11.0pp
,,,,,,,,,,,,,,,,,
Midnight Clock,U,R,402,1.27,152,1.19,641,,72,,171,,242,59.50%,229,47.20%,12.3pp
,,,,,,,,,,,,,,,,,
Mirrormade,U,R,529,1.65,76,1.75,122,,16,,43,,59,,49,,
,,,,,,,,,,,,,,,,,
Mistford River Turtle,U,C,14437,8.75,2178,11.34,1685,47.80%,264,36.70%,568,51.90%,790,47.50%,591,46.40%,1.1pp
,,,,,,,,,,,,,,,,,
Moonlit Scavengers,U,C,13326,5.7,1329,7.88,3716,52.20%,574,54.00%,1276,57.40%,1801,56.50%,1375,47.90%,8.5pp
,,,,,,,,,,,,,,,,,
Mystical Dispute,U,U,4700,4.96,387,7.44,685,,100,,240,47.10%,335,48.10%,247,43.30%,4.7pp
,,,,,,,,,,,,,,,,,
Opt,U,C,13895,6.5,2024,8.03,4709,51.90%,1063,56.20%,2283,58.30%,3103,57.60%,1467,45.50%,12.1pp
,,,,,,,,,,,,,,,,,
Overwhelmed Apprentice,U,U,2934,3.09,192,4.24,658,,105,,263,59.70%,337,57.90%,239,44.80%,13.1pp
,,,,,,,,,,,,,,,,,
Queen of Ice,U,C,11314,4.37,1120,6.1,3571,50.20%,687,45.90%,1526,54.20%,2112,51.80%,1242,49.30%,2.5pp
,,,,,,,,,,,,,,,,,
Run Away Together,U,C,12656,5.08,1347,6.83,3916,52.10%,642,48.60%,1573,59.90%,2117,56.80%,1396,47.60%,9.1pp
,,,,,,,,,,,,,,,,,
Sage of the Falls,U,U,2832,2.98,312,3.74,1258,51.20%,187,,415,50.40%,588,50.20%,493,50.30%,-0.1pp
,,,,,,,,,,,,,,,,,
So Tiny,U,C,9924,3.8,869,5.35,3035,53.20%,528,53.40%,1154,58.20%,1635,56.70%,985,49.90%,6.7pp
,,,,,,,,,,,,,,,,,
Steelgaze Griffin,U,C,9491,3.76,432,5.86,1315,50.10%,229,46.70%,483,55.10%,690,52.30%,492,47.40%,5.0pp
,,,,,,,,,,,,,,,,,
Stolen by the Fae,U,R,325,1,162,1,678,,93,,215,60.50%,303,58.70%,266,43.60%,15.1pp
,,,,,,,,,,,,,,,,,
"Syr Elenora, the Discerning",U,U,2064,2.34,384,2.72,1686,52.60%,259,55.60%,579,57.00%,819,56.70%,616,46.60%,10.1pp
,,,,,,,,,,,,,,,,,
Tome Raider,U,C,12558,5.11,1946,6.32,5431,52.90%,1310,52.40%,2902,60.50%,3917,58.20%,1677,47.30%,10.8pp
,,,,,,,,,,,,,,,,,
Turn into a Pumpkin,U,U,2658,2.82,389,3.41,1525,53.50%,224,47.80%,570,61.10%,785,57.30%,583,49.70%,7.6pp
,,,,,,,,,,,,,,,,,
Unexplained Vision,U,C,10980,4.31,799,6.24,2914,54.20%,396,49.00%,972,62.00%,1349,58.30%,1196,51.80%,6.5pp
,,,,,,,,,,,,,,,,,
Vantress Gargoyle,U,R,409,1.49,162,1.48,653,,89,,214,59.30%,300,57.30%,228,40.80%,16.5pp
,,,,,,,,,,,,,,,,,
Vantress Paladin,U,C,13758,6.37,1738,8.28,3756,51.10%,796,48.50%,1828,53.80%,2426,52.70%,1184,48.40%,4.3pp
,,,,,,,,,,,,,,,,,
Wishful Merfolk,U,C,14573,8.2,1922,10.89,2696,52.10%,536,49.30%,1160,56.00%,1592,54.40%,949,51.30%,3.1pp
,,,,,,,,,,,,,,,,,
Witching Well,U,C,11456,4.43,1201,5.92,4186,51.90%,786,53.20%,1484,56.50%,2209,55.30%,1519,48.60%,6.7pp
,,,,,,,,,,,,,,,,,
"Ayara, First of Locthwain",B,R,370,1.23,127,1.16,412,,53,,105,,153,,199,,
,,,,,,,,,,,,,,,,,
Bake into a Pie,B,C,3751,1.75,1091,1.95,4422,54.20%,758,58.40%,1293,60.50%,2007,59.60%,1800,49.70%,9.9pp
,,,,,,,,,,,,,,,,,
Barrow Witches,B,C,9093,3.65,533,5.77,2046,53.50%,300,50.30%,588,55.80%,873,53.70%,929,53.40%,0.3pp
,,,,,,,,,,,,,,,,,
Belle of the Brawl,B,U,2154,2.34,388,2.69,1715,53.40%,294,55.80%,511,52.60%,788,53.80%,745,53.70%,0.1pp
,,,,,,,,,,,,,,,,,
Blacklance Paragon,B,R,403,1.18,183,1.14,769,,122,,183,,298,60.70%,379,51.20%,9.6pp
,,,,,,,,,,,,,,,,,
Bog Naughty,B,U,2136,2.28,293,2.78,1227,53.10%,190,,396,57.60%,578,55.50%,529,52.60%,3.0pp
,,,,,,,,,,,,,,,,,
Cauldron Familiar,B,U,2488,2.62,303,3.22,904,55.00%,152,,261,56.30%,404,60.60%,406,49.50%,11.1pp
,,,,,,,,,,,,,,,,,
The Cauldron of Eternity,B,M,168,1.04,60,1.03,200,,27,,50,,77,,89,,
,,,,,,,,,,,,,,,,,
Cauldron's Gift,B,U,4517,4.9,434,6.89,1006,48.80%,129,,275,48.70%,398,48.20%,457,47.30%,1.0pp
,,,,,,,,,,,,,,,,,
Clackbridge Troll,B,R,304,1,219,1,1001,54.30%,142,,292,63.40%,427,64.20%,456,47.80%,16.4pp
,,,,,,,,,,,,,,,,,
Epic Downfall,B,U,1520,1.91,503,2.09,2296,53.90%,349,56.40%,580,59.00%,919,58.10%,981,51.70%,6.4pp
,,,,,,,,,,,,,,,,,
Eye Collector,B,C,13983,6.47,985,9.6,1311,49.50%,284,52.50%,469,56.10%,731,54.70%,519,44.90%,9.8pp
,,,,,,,,,,,,,,,,,
Festive Funeral,B,C,13941,6.31,1150,9.16,1923,49.80%,273,46.20%,549,54.60%,798,51.90%,868,49.70%,2.2pp
,,,,,,,,,,,,,,,,,
Foreboding Fruit,B,C,12260,4.91,1206,6.87,3969,52.20%,636,50.00%,1133,54.70%,1735,53.30%,1757,52.00%,1.3pp
,,,,,,,,,,,,,,,,,
Forever Young,B,C,13560,5.67,1663,7.48,5054,52.20%,745,48.60%,1284,53.40%,1991,51.70%,2184,53.30%,-1.7pp
,,,,,,,,,,,,,,,,,
Foulmire Knight,B,U,1903,2.14,424,2.64,1833,54.90%,304,54.30%,527,60.30%,812,58.40%,849,54.10%,4.3pp
,,,,,,,,,,,,,,,,,
Giant's Skewer,B,C,12074,4.86,933,7.12,2925,51.00%,459,48.80%,826,54.00%,1283,52.20%,1232,49.10%,3.1pp
,,,,,,,,,,,,,,,,,
Lash of Thorns,B,C,14402,8.05,1723,11.07,1959,49.10%,296,50.00%,531,50.50%,809,50.70%,899,47.40%,3.3pp
,,,,,,,,,,,,,,,,,
Locthwain Paladin,B,C,10924,4.22,896,5.95,3057,51.50%,504,48.00%,964,51.70%,1405,50.80%,1336,51.90%,-1.1pp
,,,,,,,,,,,,,,,,,
Lost Legion,B,C,10977,4.26,1032,6.14,3587,52.80%,630,51.60%,1192,53.60%,1751,53.00%,1483,52.70%,0.3pp
,,,,,,,,,,,,,,,,,
Malevolent Noble,B,C,12231,4.87,1053,7.02,3011,52.10%,537,54.70%,947,52.50%,1406,53.30%,1222,51.00%,2.4pp
,,,,,,,,,,,,,,,,,
Memory Theft,B,C,14123,7.16,1294,10.14,1643,52.00%,275,50.20%,429,51.70%,693,50.60%,756,54.10%,-3.5pp
,,,,,,,,,,,,,,,,,
Murderous Rider,B,R,336,1.11,227,1.09,1021,56.20%,149,,252,65.50%,395,63.80%,477,51.60%,12.2pp
,,,,,,,,,,,,,,,,,
Oathsworn Knight,B,R,505,1.62,218,1.61,818,50.10%,129,,219,57.10%,338,57.70%,349,43.30%,14.4pp
,,,,,,,,,,,,,,,,,
Order of Midnight,B,U,1540,1.84,378,2.16,1788,53.10%,287,51.60%,485,57.70%,749,55.70%,839,51.40%,4.3pp
,,,,,,,,,,,,,,,,,
Piper of the Swarm,B,R,371,1.22,194,1.15,865,53.90%,129,,254,55.10%,372,58.30%,371,50.40%,7.9pp
,,,,,,,,,,,,,,,,,
"Rankle, Master of Pranks",B,M,167,1,129,1,555,,78,,131,,206,65.50%,271,48.00%,17.6pp
,,,,,,,,,,,,,,,,,
Reaper of Night,B,C,11174,4.34,1278,5.92,4512,53.80%,681,53.90%,1432,59.50%,2072,57.20%,1943,51.30%,6.0pp
,,,,,,,,,,,,,,,,,
Reave Soul,B,C,6824,2.77,1402,3.42,5472,54.20%,1003,53.70%,1629,57.80%,2586,56.20%,2158,52.70%,3.5pp
,,,,,,,,,,,,,,,,,
Revenge of Ravens,B,U,2088,2.22,584,2.52,2455,53.20%,388,58.00%,695,56.40%,1062,57.00%,1034,48.80%,8.1pp
,,,,,,,,,,,,,,,,,
Smitten Swordmaster,B,C,12301,4.98,2336,6.34,6397,53.30%,1603,55.90%,2937,57.80%,4200,57.30%,2205,49.80%,7.6pp
,,,,,,,,,,,,,,,,,
Specter's Shriek,B,U,5595,8.18,746,11.03,201,,34,,52,,86,,100,,
,,,,,,,,,,,,,,,,,
"Syr Konrad, the Grim",B,U,1555,1.89,585,2.02,2606,53.30%,400,56.30%,881,57.40%,1243,57.60%,1142,50.20%,7.4pp
,,,,,,,,,,,,,,,,,
Tempting Witch,B,C,11355,4.35,1031,6.1,3243,51.60%,680,51.30%,1135,56.70%,1747,54.10%,1218,49.20%,4.9pp
,,,,,,,,,,,,,,,,,
Wicked Guardian,B,C,9505,3.69,587,5.57,1964,52.60%,309,51.10%,636,54.20%,931,53.40%,876,52.70%,0.6pp
,,,,,,,,,,,,,,,,,
Wishclaw Talisman,B,R,502,1.56,63,1.38,58,,4,,9,,13,,15,,
,,,,,,,,,,,,,,,,,
Witch's Vengeance,B,R,355,1.18,123,1.22,442,,64,,94,,157,,211,48.80%,
,,,,,,,,,,,,,,,,,
Barge In,R,C,14277,7.94,3662,9.08,8646,58.70%,2036,58.00%,2732,56.90%,4694,57.30%,3698,59.80%,-2.5pp
,,,,,,,,,,,,,,,,,
Bloodhaze Wolverine,R,C,14590,8.07,3314,9.74,5146,55.00%,1295,55.80%,2110,54.10%,3174,54.50%,1812,56.40%,-1.9pp
,,,,,,,,,,,,,,,,,
Blow Your House Down,R,C,14260,9.46,3022,11.65,3554,56.20%,560,52.90%,790,51.40%,1347,52.00%,1890,59.10%,-7.1pp
,,,,,,,,,,,,,,,,,
Bonecrusher Giant,R,R,353,1.16,274,1.13,1550,59.50%,242,68.60%,333,67.00%,568,67.60%,814,54.20%,13.4pp
,,,,,,,,,,,,,,,,,
Brimstone Trebuchet,R,C,12142,4.92,1939,6.52,6042,55.50%,1256,55.30%,1724,54.40%,2890,55.10%,2605,56.90%,-1.8pp
,,,,,,,,,,,,,,,,,
Burning-Yard Trainer,R,U,2787,2.96,478,3.73,2062,54.50%,309,59.20%,447,56.40%,750,57.60%,1017,52.80%,4.8pp
,,,,,,,,,,,,,,,,,
Claim the Firstborn,R,U,5366,6.33,829,8.58,1416,54.30%,211,53.60%,361,50.40%,567,51.70%,722,57.10%,-5.4pp
,,,,,,,,,,,,,,,,,
Crystal Slipper,R,C,14415,9.48,2952,11.82,1610,54.10%,262,50.00%,343,51.30%,603,50.70%,870,56.80%,-6.0pp
,,,,,,,,,,,,,,,,,
Embercleave,R,M,167,1,145,1,859,58.30%,126,,176,,302,69.50%,454,51.30%,18.2pp
,,,,,,,,,,,,,,,,,
Embereth Paladin,R,C,13934,6.56,2603,8.05,6765,57.90%,1433,58.30%,2025,55.90%,3384,57.00%,3071,59.20%,-2.2pp
,,,,,,,,,,,,,,,,,
Embereth Shieldbreaker,R,U,3935,4.2,1042,5.19,4747,57.00%,850,55.90%,1096,57.00%,1922,56.60%,2261,57.50%,-0.9pp
,,,,,,,,,,,,,,,,,
Ferocity of the Wilds,R,U,5127,6.28,992,7.46,3062,57.70%,521,54.50%,669,55.30%,1185,55.10%,1575,59.90%,-4.8pp
,,,,,,,,,,,,,,,,,
Fervent Champion,R,R,521,1.74,190,1.79,871,54.50%,129,,159,,288,56.90%,474,54.40%,2.5pp
,,,,,,,,,,,,,,,,,
Fires of Invention,R,R,526,1.69,72,1.96,115,,19,,28,,47,,65,,
,,,,,,,,,,,,,,,,,
Fling,R,C,14440,8.18,2721,10.24,4843,56.60%,788,54.60%,1186,56.80%,1960,55.90%,2535,57.20%,-1.3pp
,,,,,,,,,,,,,,,,,
Irencrag Feat,R,R,582,1.91,55,1.93,14,,0,,4,,4,,7,,
,,,,,,,,,,,,,,,,,
Irencrag Pyromancer,R,R,335,1,176,1.01,703,,93,,236,59.30%,325,56.60%,274,48.50%,8.1pp
,,,,,,,,,,,,,,,,,
Joust,R,U,4612,4.84,1093,5.81,4008,54.20%,702,53.00%,941,51.30%,1612,52.00%,1918,56.90%,-4.9pp
,,,,,,,,,,,,,,,,,
Mad Ratter,R,U,4470,4.94,850,5.76,2147,53.70%,437,53.50%,1018,57.30%,1384,55.90%,751,52.30%,3.5pp
,,,,,,,,,,,,,,,,,
Merchant of the Vale,R,C,11430,4.48,1610,6.12,5631,55.70%,1083,56.40%,1717,55.80%,2720,56.40%,2355,55.30%,1.1pp
,,,,,,,,,,,,,,,,,
Ogre Errant,R,C,13818,6.48,2846,8.14,8046,55.50%,1527,53.40%,2435,54.10%,3804,54.20%,3579,57.20%,-3.0pp
,,,,,,,,,,,,,,,,,
Opportunistic Dragon,R,R,277,1,205,1,1233,58.40%,174,,287,68.60%,457,65.60%,614,52.60%,13.0pp
,,,,,,,,,,,,,,,,,
Raging Redcap,R,C,9927,3.91,1453,5.45,5737,57.20%,1109,56.40%,1422,55.60%,2491,56.30%,2611,58.60%,-2.3pp
,,,,,,,,,,,,,,,,,
Redcap Melee,R,U,4533,4.79,1407,5.42,5648,56.70%,935,56.60%,1407,57.80%,2275,57.40%,2581,55.80%,1.7pp
,,,,,,,,,,,,,,,,,
Redcap Raiders,R,C,13953,6.37,2982,7.6,8206,57.80%,2026,58.10%,2619,57.80%,4473,58.10%,3406,58.50%,-0.3pp
,,,,,,,,,,,,,,,,,
Rimrock Knight,R,C,12555,5.04,3935,5.86,11942,56.90%,3398,60.30%,4273,55.50%,7290,57.70%,4408,56.30%,1.4pp
,,,,,,,,,,,,,,,,,
Robber of the Rich,R,M,148,1,105,1,555,,90,,124,,213,61.50%,269,55.80%,5.7pp
,,,,,,,,,,,,,,,,,
Scorching Dragonfire,R,C,4939,2.18,1949,2.49,8579,57.20%,1698,58.80%,2368,59.50%,3981,59.00%,3874,56.40%,2.5pp
,,,,,,,,,,,,,,,,,
Searing Barrage,R,C,9712,3.85,2335,4.76,8822,56.80%,1565,57.30%,2594,58.20%,4090,57.80%,3892,56.80%,1.0pp
,,,,,,,,,,,,,,,,,
Seven Dwarves,R,C,14415,7.04,4535,7.48,6853,59.10%,2970,63.80%,3691,57.30%,6208,60.20%,1818,59.40%,0.8pp
,,,,,,,,,,,,,,,,,
Skullknocker Ogre,R,U,5297,7.38,830,9.54,983,51.30%,141,,241,50.60%,376,50.30%,500,52.40%,-2.1pp
,,,,,,,,,,,,,,,,,
Slaying Fire,R,U,2064,2.33,929,2.57,4602,58.40%,795,57.20%,1082,59.70%,1868,58.70%,2188,58.70%,-0.0pp
,,,,,,,,,,,,,,,,,
Sundering Stroke,R,R,391,1.33,187,1.34,903,56.80%,152,,208,60.60%,359,59.30%,439,55.40%,4.0pp
,,,,,,,,,,,,,,,,,
"Syr Carah, the Bold",R,U,1974,2.35,729,2.68,3466,55.40%,512,58.00%,833,53.90%,1334,55.50%,1678,56.70%,-1.3pp
,,,,,,,,,,,,,,,,,
Thrill of Possibility,R,C,13890,6.64,2090,8.66,4870,54.20%,849,51.50%,1449,55.30%,2226,53.50%,2041,55.50%,-2.0pp
,,,,,,,,,,,,,,,,,
"Torbran, Thane of Red Fell",R,R,335,1.16,210,1.17,1098,62.00%,157,,252,60.30%,399,62.20%,570,61.20%,0.9pp
,,,,,,,,,,,,,,,,,
Weaselback Redcap,R,C,14136,6.63,3436,7.68,9829,57.40%,2679,59.90%,3215,55.30%,5679,57.50%,4022,57.20%,0.3pp
,,,,,,,,,,,,,,,,,
Beanstalk Giant,G,U,1755,2.08,530,2.4,2493,56.60%,411,64.70%,653,59.60%,1052,61.50%,1083,53.30%,8.2pp
,,,,,,,,,,,,,,,,,
Curious Pair,G,C,12227,4.95,1589,6.82,4906,53.20%,980,54.60%,1613,53.80%,2492,54.10%,1974,51.80%,2.2pp
,,,,,,,,,,,,,,,,,
Edgewall Innkeeper,G,U,2279,2.6,648,2.81,2839,57.20%,489,62.60%,785,57.70%,1256,59.60%,1261,55.40%,4.2pp
,,,,,,,,,,,,,,,,,
Feasting Troll King,G,R,295,1,211,1,981,54.90%,138,,249,58.20%,381,58.80%,497,50.30%,8.5pp
,,,,,,,,,,,,,,,,,
Fell the Pheasant,G,C,14297,8.05,1399,11.3,1033,51.00%,176,,266,53.00%,437,52.40%,502,50.00%,2.4pp
,,,,,,,,,,,,,,,,,
Fierce Witchstalker,G,C,5269,2.28,1307,2.75,5526,56.90%,960,59.90%,1702,58.60%,2610,59.10%,2352,55.20%,3.9pp
,,,,,,,,,,,,,,,,,
Flaxen Intruder,G,U,4532,4.72,564,6.76,1841,53.70%,307,54.70%,500,56.80%,798,56.00%,855,51.90%,4.1pp
,,,,,,,,,,,,,,,,,
Garenbrig Carver,G,C,10860,4.4,1419,6.08,5289,55.90%,1033,57.20%,1587,56.70%,2577,56.80%,2219,55.40%,1.5pp
,,,,,,,,,,,,,,,,,
Garenbrig Paladin,G,C,8617,3.37,1272,4.5,5114,56.30%,935,55.10%,1576,56.00%,2454,56.20%,2179,56.30%,-0.1pp
,,,,,,,,,,,,,,,,,
Garenbrig Squire,G,C,14670,8.01,2649,10.12,3950,53.30%,791,54.00%,1263,50.10%,1937,52.20%,1605,54.10%,-1.9pp
,,,,,,,,,,,,,,,,,
Giant Opportunity,G,U,4595,4.87,650,6.29,1876,51.60%,310,47.70%,621,53.60%,901,51.50%,827,53.30%,-1.8pp
,,,,,,,,,,,,,,,,,
Gilded Goose,G,R,384,1.24,201,1.2,840,52.00%,125,,218,55.50%,338,55.30%,404,50.00%,5.3pp
,,,,,,,,,,,,,,,,,
The Great Henge,G,M,145,1.01,109,1.01,478,,72,,104,,175,,219,57.50%,
,,,,,,,,,,,,,,,,,
Insatiable Appetite,G,C,14130,7.21,1858,9.59,3571,54.10%,609,50.20%,960,54.70%,1522,53.00%,1658,54.90%,-1.9pp
,,,,,,,,,,,,,,,,,
Keeper of Fables,G,U,1896,2.13,530,2.4,2575,54.20%,384,51.60%,660,53.80%,1026,52.80%,1222,55.50%,-2.7pp
,,,,,,,,,,,,,,,,,
Kenrith's Transformation,G,U,3981,4.21,617,5.69,2083,54.60%,339,55.50%,504,56.90%,829,56.30%,910,55.50%,0.8pp
,,,,,,,,,,,,,,,,,
Lovestruck Beast,G,R,348,1.17,230,1.18,1082,53.80%,152,,273,60.40%,419,64.00%,523,46.10%,17.9pp
,,,,,,,,,,,,,,,,,
Maraleaf Rider,G,C,13876,6.21,2691,7.68,7316,55.50%,1768,55.40%,2536,52.80%,4139,54.20%,2862,56.30%,-2.1pp
,,,,,,,,,,,,,,,,,
Oakhame Adversary,G,U,2227,2.45,665,2.85,3176,56.30%,490,59.00%,852,56.60%,1324,57.60%,1501,55.30%,2.3pp
,,,,,,,,,,,,,,,,,
Once and Future,G,U,4582,4.75,740,6.11,2593,54.70%,393,48.10%,642,55.80%,1029,53.00%,1309,56.80%,-3.8pp
,,,,,,,,,,,,,,,,,
